[13:52:24] [INFO] received Windows console close event; shutting log-core down
[14:41:45] [INFO] received Windows console close event; shutting log-core down
[15:07:49] [INFO] received Windows console close event; shutting log-core down
[15:23:11] [INFO] received Windows console close event; shutting log-core down
[15:26:48] [INFO] received Windows console close event; shutting log-core down
[15:32:54] [INFO] received Windows console close event; shutting log-core down
[15:38:11] [INFO] received Windows console close event; shutting log-core down
[15:45:40] [INFO] received Windows console close event; shutting log-core down
[16:19:52] [INFO] received Windows console close event; shutting log-core down
[16:52:22] [INFO] received Windows console close event; shutting log-core down
[18:19:21] [INFO] received Windows console close event; shutting log-core down
[18:21:16] [INFO] received Windows console close event; shutting log-core down
[18:26:24] [INFO] received Windows console close event; shutting log-core down
[18:43:17] [INFO] received Windows console close event; shutting log-core down
[19:34:17] [INFO] received Windows console close event; shutting log-core down
[19:51:41] [INFO] received Windows console close event; shutting log-core down
[20:19:17] [INFO] received Windows console close event; shutting log-core down
[22:59:08] [INFO] received Windows console close event; shutting log-core down
[23:10:21] [INFO] received Windows console close event; shutting log-core down
[23:20:06] [INFO] received Windows console close event; shutting log-core down
[23:36:29] [INFO] received Windows console close event; shutting log-core down
[23:39:35] [INFO] received Windows console close event; shutting log-core down
[23:43:47] [INFO] received Windows console close event; shutting log-core down
[23:45:29] [INFO] received Windows console close event; shutting log-core down
[23:48:48] [INFO] received Windows console close event; shutting log-core down
[23:57:18] [INFO] received Windows console close event; shutting log-core down
[11:49:09] [INFO] received Windows console close event; shutting log-core down
[12:16:13] [INFO] received Windows console close event; shutting log-core down
[13:00:32] [INFO] received Windows console close event; shutting log-core down
[13:04:04] [INFO] received Windows console close event; shutting log-core down
[13:08:23] [INFO] received Windows console close event; shutting log-core down
[13:13:30] [INFO] received Windows console close event; shutting log-core down
[13:31:35] [INFO] received Windows console close event; shutting log-core down
[13:34:39] [INFO] received Windows console close event; shutting log-core down
[13:40:35] [INFO] received Windows console close event; shutting log-core down
[13:51:31] [INFO] received Windows console close event; shutting log-core down
[13:55:49] [INFO] received Windows console close event; shutting log-core down
[21:40:25] [INFO] received Windows console close event; shutting log-core down
[21:44:45] [INFO] received Windows console close event; shutting log-core down
[21:50:19] [INFO] received Windows console close event; shutting log-core down
[21:52:54] [INFO] received Windows console close event; shutting log-core down
[22:01:02] [INFO] received Windows console close event; shutting log-core down
[22:12:49] [INFO] received Windows console close event; shutting log-core down
[22:18:39] [INFO] received Windows console close event; shutting log-core down
[22:18:40] [INFO] received Windows console close event; shutting log-core down
[22:20:53] [INFO] received Windows console close event; shutting log-core down
[22:24:19] [INFO] received Windows console close event; shutting log-core down
[22:32:17] [INFO] received Windows console close event; shutting log-core down
[22:36:33] [INFO] received Windows console close event; shutting log-core down
[22:39:46] [INFO] received Windows console close event; shutting log-core down
[22:43:16] [INFO] received Windows console close event; shutting log-core down
[22:45:49] [INFO] received Windows console close event; shutting log-core down
[23:09:54] [INFO] received Windows console close event; shutting log-core down
[23:12:45] [INFO] received Windows console close event; shutting log-core down
[23:16:57] [INFO] received Windows console close event; shutting log-core down
[23:35:14] [INFO] received Windows console close event; shutting log-core down
[00:13:50] [INFO] received Windows console close event; shutting log-core down
[00:19:18] [INFO] received Windows console close event; shutting log-core down
[13:41:02] [INFO] received Windows console close event; shutting log-core down
[13:43:11] [INFO] received Windows console close event; shutting log-core down
[13:46:39] [INFO] received Windows console close event; shutting log-core down
[13:50:14] [INFO] received Windows console close event; shutting log-core down
[13:56:37] [INFO] received Windows console close event; shutting log-core down
[14:00:30] [INFO] received Windows console close event; shutting log-core down
[14:07:49] [INFO] received Windows console close event; shutting log-core down
[15:11:41] [INFO] received Windows console close event; shutting log-core down
[17:06:44] [INFO] received Windows console close event; shutting log-core down
[17:09:03] [INFO] received Windows console close event; shutting log-core down
[17:13:16] [INFO] received Windows console close event; shutting log-core down
[17:22:46] [INFO] received Windows console close event; shutting log-core down
[17:43:06] [INFO] received Windows console close event; shutting log-core down
[17:46:12] [INFO] received Windows console close event; shutting log-core down
[17:51:17] [INFO] received Windows console close event; shutting log-core down
[18:00:12] [INFO] received Windows console close event; shutting log-core down
[20:23:27] [INFO] received Windows console close event; shutting log-core down
[00:34:16] [INFO] received Windows console close event; shutting log-core down
[00:44:57] [INFO] received Windows console close event; shutting log-core down
[00:57:06] [INFO] received Windows console close event; shutting log-core down
[01:02:36] [INFO] received Windows console close event; shutting log-core down
[12:34:31] [INFO] received Windows console close event; shutting log-core down
[17:44:00] [INFO] received Windows console close event; shutting log-core down
[17:49:01] [INFO] received Windows console close event; shutting log-core down
[17:51:43] [INFO] received Windows console close event; shutting log-core down
[22:01:18] [INFO] received Windows console close event; shutting log-core down
[22:08:35] [INFO] received Windows console close event; shutting log-core down
